0,Art Smart,Level 2
1,Big John,Level 3
2,Central Bank,Level 2 (Safety Village)
3,Engineers Workshop,Level 2
4,Farm,Level 2
5,Firehouse,Level 2 (Safety Village)
6,Global Cafe,Level 1
7,Ice Cream Parlor,Level 2 (Safety Village)
8,KidsPort,Level 1
9,Light Cloud,Level 1
10,Pizza Place,Level 2 (Safety Village)
11,Publix,Level 2 (Safety Village)
12,St. Josephs Children Hospital,Level 2 (Safety Village)
13,Tugboats Tots,Level 1
14,Twinkle Stars Theater,Level 2
15,Vet Clinic,Level 2 (Safety Village)
16,Water's Journey,Level 2
